Date Time,SPD10-DK ,TMP10-DK ,DEW PT.  ,RAIN 
01/06/2023 06:00:00 AM,2.6,42.5,36.9,0
01/25/2023 09:00:00 AM,3.4,36.9,27.2,0
01/31/2023 07:00:00 PM,1.6,35.1,33.2,0
01/10/2023 08:00:00 PM,1,38.9,24,0
01/23/2023 10:00:00 AM,6.2,40.8,36,0
01/05/2023 12:00:00 AM,3.9,59.5,57.2,0
01/29/2023 02:00:00 PM,9.4,42.5,37.6,0.02
01/08/2023 02:00:00 PM,9.6,40.4,26.8,0
03/21/2023 05:00:00 PM,0,0,0,0
02/24/2023 06:00:00 AM,9.5,301,25.7,0
01/17/2023 09:00:00 PM,1.7,40,36.5,0
01/21/2023 10:00:00 PM,2.8,31.2,24,0
03/06/2023 03:00:00 PM,3.9,198,31.2,0
03/26/2023 04:00:00 PM,0,0,0,0
01/21/2023 11:00:00 AM,8.7,40.1,26.8,0
03/27/2023 05:00:00 PM,0,0,0,0
01/14/2023 01:00:00 AM,12,35.8,25.5,0
01/12/2023 06:00:00 AM,4.2,39.4,37.2,0
03/25/2023 06:00:00 PM,0,0,0,0
01/31/2023 12:00:00 AM,2.4,47.3,40.2,0
01/04/2023 10:00:00 AM,5.7,59.6,56,0
01/04/2023 11:00:00 PM,3.6,60.1,56.8,0
02/14/2023 08:00:00 AM,1.7,202,27.1,0
01/14/2023 02:00:00 AM,10.9,35.4,25.4,0
02/15/2023 02:00:00 PM,15.2,185,42.8,0
02/03/2023 02:00:00 AM,4.6,252,18.8,0
01/12/2023 04:00:00 AM,4.8,39.3,37,0
01/13/2023 09:00:00 AM,6.7,43.7,34.6,0
03/06/2023 12:00:00 PM,3.3,227,29,0
02/25/2023 07:00:00 AM,2,9,17.3,0
03/18/2023 08:00:00 AM,0,0,0,0
02/18/2023 10:00:00 PM,3.7,158,21.5,0
03/08/2023 04:00:00 PM,0,0,0,0
03/17/2023 03:00:00 PM,0,0,0,0
03/10/2023 11:00:00 AM,0,0,0,0
02/14/2023 04:00:00 AM,4.3,331,22,0
01/31/2023 11:00:00 AM,5.7,37.4,30.6,0.02
02/23/2023 11:00:00 AM,2.4,159,44.9,0
02/11/2023 12:00:00 PM,6.4,338,20,0
01/19/2023 11:00:00 PM,2.6,41.2,41.1,0
03/03/2023 04:00:00 AM,3.5,26,31.3,0
02/21/2023 04:00:00 PM,8.4,267,33.6,0
02/16/2023 09:00:00 PM,2.2,348,51.6,0
01/30/2023 10:00:00 PM,1.3,48.8,40.7,0
02/02/2023 09:00:00 AM,2.9,14,20.9,0
01/01/2023 06:00:00 AM,3.6,51.6,42.3,0
02/23/2023 12:00:00 AM,2.2,61,39.5,0
02/26/2023 09:00:00 AM,4.9,216,34,0
01/19/2023 01:00:00 PM,3.5,41.8,39.3,0.02
02/11/2023 08:00:00 AM,5.7,323,20.9,0
01/23/2023 03:00:00 PM,10.2,42.8,29.3,0
02/10/2023 09:00:00 AM,9.8,280,34.9,0
01/22/2023 01:00:00 AM,1.4,27.6,23.4,0
02/07/2023 12:00:00 PM,11.2,172,29.9,0
02/25/2023 04:00:00 PM,4.1,121,31.7,0
03/25/2023 02:00:00 AM,0,0,0,0
03/29/2023 06:00:00 PM,0,0,0,0
01/20/2023 04:00:00 AM,3.3,43,39.3,0
02/17/2023 01:00:00 AM,5.9,174,54.2,0
03/04/2023 03:00:00 PM,10.4,306,31.9,0
02/07/2023 11:00:00 PM,2.4,11,32.4,0
02/17/2023 10:00:00 PM,12.3,313,18.8,0
01/10/2023 10:00:00 AM,3.7,37.4,29,0
03/12/2023 10:00:00 PM,0,0,0,0
01/07/2023 09:00:00 AM,4.3,41.9,25.4,0
01/14/2023 05:00:00 AM,10.4,33.9,24.4,0
03/30/2023 09:00:00 AM,0,0,0,0
02/06/2023 06:00:00 PM,6.7,329,29.9,0
02/27/2023 03:00:00 AM,1.6,84,29.3,0
01/17/2023 05:00:00 AM,2.1,36.2,25.3,0
03/08/2023 12:00:00 PM,0,0,0,0
03/31/2023 05:00:00 AM,0,0,0,0
01/20/2023 05:00:00 PM,7.6,43.4,26.4,0
01/01/2023 08:00:00 PM,1.8,53.7,41.2,0
01/20/2023 06:00:00 PM,7.3,42.6,25.9,0
02/11/2023 05:00:00 AM,8,310,22.1,0
03/16/2023 12:00:00 PM,0,0,0,0
02/26/2023 02:00:00 AM,3.2,219,32.5,0
03/27/2023 11:00:00 PM,0,0,0,0
02/01/2023 08:00:00 PM,1,350,15.6,0
02/11/2023 01:00:00 AM,6.6,299,27,0
03/28/2023 12:00:00 PM,0,0,0,0
03/12/2023 07:00:00 PM,0,0,0,0
03/03/2023 12:00:00 PM,5.5,83,32.7,0
03/28/2023 07:00:00 PM,0,0,0,0
03/06/2023 11:00:00 PM,7,156,31.5,0
01/03/2023 04:00:00 AM,1.4,47.8,44.5,0
03/21/2023 09:00:00 AM,0,0,0,0
01/03/2023 07:00:00 PM,15.1,65.5,57.4,0
02/28/2023 12:00:00 PM,2.5,314,42,0
02/19/2023 03:00:00 AM,2.2,1,25.4,0
01/11/2023 12:00:00 PM,6.1,40.8,32.5,0
01/16/2023 06:00:00 AM,5.3,30.8,16.8,0
01/06/2023 08:00:00 PM,4.2,42.1,29.4,0
01/04/2023 06:00:00 AM,1.7,55.2,51,0
01/06/2023 05:00:00 AM,2.3,41.6,37.5,0
02/15/2023 02:00:00 AM,8.1,150,33,0
01/03/2023 11:00:00 AM,1.4,49.9,49.3,0
01/21/2023 12:00:00 PM,9.7,39.9,26.4,0
02/19/2023 09:00:00 AM,7,182,28.2,0
01/30/2023 12:00:00 PM,4.8,49.3,43.2,0
02/24/2023 01:00:00 PM,11.2,315,22.4,0
03/11/2023 08:00:00 AM,0,0,0,0
01/29/2023 10:00:00 PM,2.4,42.6,38.9,0
03/07/2023 10:00:00 AM,0,0,0,0
01/19/2023 05:00:00 PM,2.9,42,41.6,0
03/02/2023 05:00:00 AM,3.2,216,42.4,0
03/19/2023 08:00:00 PM,0,0,0,0
01/18/2023 08:00:00 PM,2.6,44.6,34.3,0
01/09/2023 07:00:00 PM,3.9,40.6,21.9,0
03/25/2023 01:00:00 PM,0,0,0,0
02/26/2023 07:00:00 AM,5.3,207,33,0
03/21/2023 03:00:00 PM,0,0,0,0
02/22/2023 02:00:00 PM,8.4,151,29.2,0
03/09/2023 11:00:00 PM,0,0,0,0
01/15/2023 11:00:00 PM,5.2,33.5,17.4,0
01/29/2023 06:00:00 PM,4,43.8,38.9,0
01/10/2023 05:00:00 AM,1.7,31.4,22.6,0
03/17/2023 04:00:00 PM,0,0,0,0
03/11/2023 05:00:00 AM,0,0,0,0
02/25/2023 10:00:00 PM,1.4,43,31.6,0
01/04/2023 02:00:00 PM,7.2,62.8,57.1,0
02/07/2023 03:00:00 AM,1.8,49,24.3,0
01/25/2023 03:00:00 PM,7.6,38.1,36.5,0.04
03/07/2023 08:00:00 AM,0,0,0,0
01/24/2023 09:00:00 PM,2,36.5,25.2,0
01/19/2023 07:00:00 AM,3.2,40.8,36.8,0
01/19/2023 12:00:00 AM,2.6,41.8,35.2,0
03/24/2023 09:00:00 PM,0,0,0,0
02/21/2023 06:00:00 AM,2.3,138,40.2,0
02/18/2023 11:00:00 AM,5.6,302,15.9,0
02/06/2023 08:00:00 PM,5.2,309,28.9,0
03/09/2023 09:00:00 PM,0,0,0,0
01/11/2023 11:00:00 AM,3.9,37.7,32.1,0
02/28/2023 09:00:00 AM,2.2,346,38.6,0
02/25/2023 04:00:00 AM,1.8,98,14.2,0
03/15/2023 06:00:00 AM,0,0,0,0
01/28/2023 11:00:00 PM,1.7,38.7,29.3,0
02/24/2023 11:00:00 AM,10.9,327,25,0
02/22/2023 02:00:00 AM,1.9,78,24.4,0
01/30/2023 12:00:00 AM,1.5,40.3,38.5,0
01/15/2023 05:00:00 AM,9.4,27.7,18.4,0
02/08/2023 07:00:00 AM,3,171,38.3,0
01/16/2023 08:00:00 AM,4.7,31.1,16.8,0
01/27/2023 09:00:00 PM,6.6,35.6,18.8,0
01/13/2023 03:00:00 AM,10.8,52.5,50.9,0.02
01/04/2023 09:00:00 AM,2.6,58.4,55.3,0
01/07/2023 05:00:00 AM,1.6,39.5,29.7,0
02/26/2023 08:00:00 AM,5.1,214,33.6,0
03/24/2023 08:00:00 AM,0,0,0,0
03/30/2023 06:00:00 PM,0,0,0,0
03/19/2023 08:00:00 AM,0,0,0,0
03/19/2023 01:00:00 PM,0,0,0,0
03/01/2023 12:00:00 AM,2.9,34,33.2,0
02/13/2023 08:00:00 AM,2.7,320,23.2,0
01/18/2023 05:00:00 AM,3.5,45.2,42.4,0
03/25/2023 02:00:00 PM,0,0,0,0
03/12/2023 01:00:00 PM,0,0,0,0
01/29/2023 12:00:00 PM,10.2,45.6,32.1,0
01/11/2023 07:00:00 PM,3.7,42,30.6,0
02/25/2023 12:00:00 PM,8.9,149,27.4,0
