Date_time,WY,Year,Month,Day,Hour,Minute,T_g_5,T_g_20,T_g_50,T_g_75,T_g_90,s_m_5,s_m_20,s_m_50,s_m_75,s_m_90
10/1/2010 0:00,2011,2010,10,1,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 1:00,2011,2010,10,1,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 2:00,2011,2010,10,1,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 3:00,2011,2010,10,1,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 4:00,2011,2010,10,1,4,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 5:00,2011,2010,10,1,5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 6:00,2011,2010,10,1,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 7:00,2011,2010,10,1,7,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 8:00,2011,2010,10,1,8,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 9:00,2011,2010,10,1,9,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 10:00,2011,2010,10,1,10,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 11:00,2011,2010,10,1,11,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 12:00,2011,2010,10,1,12,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 13:00,2011,2010,10,1,13,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 14:00,2011,2010,10,1,14,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 15:00,2011,2010,10,1,15,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 16:00,2011,2010,10,1,16,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 17:00,2011,2010,10,1,17,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 18:00,2011,2010,10,1,18,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 19:00,2011,2010,10,1,19,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 20:00,2011,2010,10,1,20,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 21:00,2011,2010,10,1,21,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 22:00,2011,2010,10,1,22,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/1/2010 23:00,2011,2010,10,1,23,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/2/2010 0:00,2011,2010,10,2,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/2/2010 1:00,2011,2010,10,2,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/2/2010 2:00,2011,2010,10,2,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/2/2010 3:00,2011,2010,10,2,3,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
10/2/2010 4:00,2011,2010,10,2,4,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
